Compound,HMDB,KEGG,High.Confidence.Annotation,Compound.Name,Retention.Time,m.z,Cluster..if.DA.,Putative.Chemical.Class,Adduct,hmdb_name,hmdb_theoretical_mz,hmdb_mz_diff,hmdb_ppm_error,hmdb_best_adduct,hmdb_match_quality,hmdb_match_strategy,kegg_theoretical_mz,kegg_mz_diff,kegg_ppm_error,kegg_best_adduct,kegg_match_quality,kegg_match_strategy
HILIC-pos_Cluster_0246: 7-methylguanine,HMDB0000897,C02242,True,7-methylguanine,5.691902,166.071809,,Imidazopyrimidines,[M+H]+,7-Methylguanine,166.072336,-0.000527,3.17,[M+H]+,good,iso+0.000_loss-0.000,166.072376,-0.000567,3.41,[M+H]+,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0914: 8-hydroxy-deoxyguanosine,HMDB0003333,,True,8-hydroxy-deoxyguanosine,5.249252,284.098026,,Purine nucleosides,[M+H]+,8-Hydroxy-deoxyguanosine,284.098945,-0.000919,3.23,[M+H]+,good,iso+0.000_loss-0.000,,,,,no_id,
C18-neg_Cluster_0394: 9.10-diHOME,HMDB0004704,,True,9.10-diHOME,10.358848,313.238464,,Long-chain fatty acids,[M-H]-,"9,10-DHOME",313.238434,3e-05,0.1,[M-H]-,good,iso+0.000_loss-0.000,,,,,no_id,
HILIC-neg_Cluster_0232: acesulfame,HMDB0033585,,False,acesulfame,3.482412,161.986314,,Organic sulfuric acids and derivatives,[M-H]-,Acesulfame,161.986083,0.000231,1.42,[M+FA-H]-,good,iso+0.000_loss-46.005,,,,,no_id,
C18-neg_Cluster_0025: acesulfame,HMDB0033585,,False,acesulfame,1.024814,161.985411,,Organic sulfuric acids and derivatives,[M-H]-,Acesulfame,161.986083,-0.000672,4.15,[M+FA-H]-,good,iso+0.000_loss-46.005,,,,,no_id,
HILIC-neg_Cluster_0103: acetylalanine,HMDB0000766,C01073,False,acetylalanine,3.91996,130.05083,,N-acyl-L-alpha-amino acids,[M-H]-,N-Acetyl-L-alanine,130.050967,-0.000137,1.05,[M-H]-,good,iso+0.000_loss-0.000,130.050924,-9.4e-05,0.72,[M-H]-,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0152: acetylcholine,HMDB0000895,C01996,True,acetylcholine,7.671379,146.116992,,Quaternary ammonium salts,[M+H]+,Acetylcholine,146.118104,-0.001112,7.61,[M]+,borderline,iso+0.000_loss-0.000,146.1181,-0.001108,7.58,[M]+,borderline,iso+0.000_loss-0.000
C18-neg_Cluster_0090: acetytyrosine,HMDB0000866,C01657,True,acetytyrosine,1.126767,222.076542,,"Amino acids, peptides, and analogues",[M+H]+,N-Acetyl-L-tyrosine,222.076613,-7.1e-05,0.32,[M+FA-H]-,good,iso+0.000_loss-46.005,222.098424,-0.021882,98.52,[M-H]-,poor,iso+0.000_loss-28.010
HILIC-neg_Cluster_0120: adenine,HMDB0000034,C00147,True,adenine,2.271317,134.04717,1.0,Purines and purine derivatives,[M-H]-,Adenine,134.047219,-4.9e-05,0.37,[M-H]-,good,iso+0.000_loss-0.000,134.047224,-5.4e-05,0.4,[M-H]-,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0447: ADMA,HMDB0001539,C03626,True,ADMA,9.686666,203.149698,2.0,Arginine and derivatives,[M+H]+,Asymmetric dimethylarginine,203.150252,-0.000554,2.73,[M+H]+,good,iso+0.000_loss-0.000,203.150276,-0.000578,2.85,[M+H]+,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0446: ADMA/SDMA*,,,False,ADMA/SDMA*,9.579272,203.149549,,Arginine and derivatives,[M+H]+,,,,,,no_id,,,,,,no_id,
C18-neg_Cluster_0506: adrenic acid,HMDB0002226,C16527,True,adrenic acid,15.061144,331.264136,11.0,Very long-chain fatty acids,[M-H]-,Adrenic acid,331.264254,-0.000118,0.36,[M-H]-,good,iso+0.000_loss-0.000,331.264224,-8.8e-05,0.27,[M-H]-,good,iso+0.000_loss-0.000
HILIC-neg_Cluster_0015: alanine,HMDB0000161,C01401,False,alanine,3.30043,88.040286,,"Amino acids, peptides, and analogues",[M-H]-,L-Alanine,88.040402,-0.000116,1.32,[M-H]-,good,iso+0.000_loss-0.000,88.040424,-0.000138,1.57,[M-H]-,good,iso+0.000_loss-0.000
HILIC-pos_Cluster_0008: alanine,HMDB0000161,C01401,False,alanine,7.798448,90.055267,,"Amino acids, peptides, and analogues",[M+H]+,L-Alanine,90.054954,0.000313,3.47,[M+H]+,good,iso+0.000_loss-0.000,90.054976,0.000291,3.23,[M+H]+,good,iso+0.000_loss-0.000
HILIC-neg_Cluster_0034: alpha-hydroxybutyrate,HMDB0000008,C05984,True,alpha-hydroxybutyrate,3.866533,103.039899,1.0,,[M-H]-,2-Hydroxybutyric acid,103.040068,-0.000169,1.64,[M-H]-,good,iso+0.000_loss-0.000,103.040024,-0.000125,1.21,[M-H]-,good,iso+0.000_loss-0.000
HILIC-neg_Cluster_0159: alpha-ketoglutarate,HMDB0000208,C00026,True,alpha-ketoglutarate,7.756236,145.014087,,Gamma-keto acids and derivatives,[M-H]-,Oxoglutaric acid,145.014247,-0.00016,1.11,[M-H]-,good,iso+0.000_loss-0.000,145.014224,-0.000137,0.94,[M-H]-,good,iso+0.000_loss-0.000
HILIC-neg_Cluster_0062: alpha-ketoisovalerate,HMDB0000019,C00141,True,alpha-ketoisovalerate,3.52175,115.039921,,Keto acids and derivatives,[M-H]-,alpha-Ketoisovaleric acid,115.040068,-0.000147,1.28,[M-H]-,good,iso+0.000_loss-0.000,115.040024,-0.000103,0.9,[M-H]-,good,iso+0.000_loss-0.000
C18-neg_Cluster_0244: alpha-linolenic acid,HMDB0001388,C06427,True,alpha-linolenic acid,13.755078,277.217171,1.0,Lineolic acids and derivatives,[M-H]-,alpha-Linolenic acid,277.217304,-0.000133,0.48,[M-H]-,good,iso+0.000_loss-0.000,277.217324,-0.000153,0.55,[M-H]-,good,iso+0.000_loss-0.000
C18-neg_Cluster_0927: alpha-muricholate,HMDB0000506,C17647,True,alpha-muricholate,8.117757,407.279768,,,[M-H]-,alpha-Muricholic acid,407.279729,3.9e-05,0.09,[M+FA-H]-,good,iso+0.000_loss-46.005,407.279755,1.3e-05,0.03,[M+FA-H]-,good,iso+0.000_loss-46.005
HILIC-pos_Cluster_0667: anserine,HMDB0000194,C01262,True,anserine,10.469162,241.128533,,Peptidomimetics,[M+H]+,Anserine,241.129516,-0.000983,4.08,[M+H]+,good,iso+0.000_loss-0.000,241.129476,-0.000943,3.91,[M+H]+,good,iso+0.000_loss-0.000
